Woche;Event;Spieltyp;Spielort;TS Einsatz;TS vor dem Spiel;TS nach dem Spiel;TI;FQ;Sportpsychologe;Mittelfeld Heimspiel PIN;Mittelfeld Heimspiel PIC;Mittelfeld Heimspiel MOTS;Mittelfeld Auswärts-Derby PIN;Mittelfeld Auswärts-Derby PIC;Mittelfeld Auswärts-Derby MOTS;Mittelfeld Auswärts PIN;Mittelfeld Auswärts PIC;Mittelfeld Auswärts MOTS;Mittelfeld beim Spiel;Gegner
13;88;;;;6.22;6.22;100;7;0;12.04;10.11;13.47;11.19;9.40;12.53;10.04;8.43;11.24;10.04;-
13;89;;;;6.16;6.16;100;7;0;11.99;10.07;13.42;11.15;9.36;12.48;10.00;8.40;11.19;10.00;-
13;90;;;;6.10;6.10;100;7;0;11.95;10.03;13.37;11.11;9.33;12.43;9.96;8.36;11.15;9.96;-
13;91;;;;6.05;6.05;100;7;0;11.90;9.99;13.32;11.07;9.29;12.39;9.93;8.33;11.11;9.93;-
13;92;;;;5.99;5.99;100;7;0;11.86;9.96;13.28;11.03;9.26;12.35;9.89;8.31;11.07;9.89;-
14;93;;;;5.95;5.95;100;7;0;11.82;9.93;13.23;11.00;9.23;12.31;9.86;8.28;11.04;9.86;-
14;94;;;;5.90;5.90;100;7;0;11.79;9.89;13.19;10.96;9.20;12.27;9.83;8.25;11.00;9.83;-
14;95;;;;5.85;5.85;100;7;0;11.75;9.87;13.15;10.93;9.17;12.23;9.80;8.23;10.97;9.80;-
14;96;;;;5.81;5.81;100;7;0;11.72;9.84;13.12;10.90;9.15;12.20;9.77;8.21;10.94;9.77;-
14;97;;;;5.77;5.77;100;7;0;11.69;9.81;13.08;10.87;9.12;12.17;9.75;8.18;10.91;9.75;-
14;98;;;;5.73;5.73;100;7;0;11.66;9.79;13.05;10.84;9.10;12.13;9.72;8.16;10.88;9.72;-
14;99;;;;5.69;5.69;100;7;0;11.63;9.76;13.02;10.81;9.08;12.10;9.70;8.14;10.86;9.70;-
15;100;;;;5.66;5.66;100;7;0;11.60;9.74;12.99;10.79;9.06;12.08;9.68;8.12;10.83;9.68;-
15;101;;;;5.63;5.63;100;7;0;11.58;9.72;12.96;10.77;9.04;12.05;9.66;8.11;10.81;9.66;-
15;102;;;;5.60;5.60;100;7;0;11.55;9.70;12.93;10.74;9.02;12.02;9.64;8.09;10.79;9.64;-
